Google Map顯示名稱(全名),Google Map url,新的url(不需調整請填x)
TKB公館數位學堂 (大碩研究所/百官網公職/多益TOEIC / 雅思IELTS / 托福TOEFL / GRE / 書審口試）,"https://www.google.com/maps/place/TKB+digital+school+(Jingmei+school)/@25.0167533,121.5297519,17z/data=!4m12!1m6!3m5!1s0x3442aa01039e2197:0xda8e14556a9a793a!2sTKB+digital+school+(Jingmei+school)!8m2!3d25.0167533!4d121.5319406!3m4!1s0x3442aa01039e2197:0xda8e14556a9a793a!8m2!3d25.0167533!4d121.5319406?hl=en",
TKB台北數位學堂(研究所/公職/國營事業/PMP.ACP.PBA.RMP/多益托福雅思GRE.GMAT/出國留遊學代辦/高升大一點通數位教材/技師/經濟部聯招/中華電信),"https://www.google.com/maps/place/TKB+Taipei+Digital+School/@25.0459043,121.5125784,20.75z/data=!4m13!1m7!3m6!1s0x3442a90ce7ad3edd:0xe705af4e2af312e3!2sNo.+32,+Section+1,+Kaifeng+St,+Zhongzheng+District,+Taipei+City,+100!3b1!8m2!3d25.0459143!4d121.5125885!3m4!1s0x3442a90ce7ad3edd:0xb489f9957acc1c99!8m2!3d25.0459733!4d121.5125053?hl=en-US",
TKB基隆數位學堂(研究所/公職國營/英文/轉學考/高中升大/書審口面試),"https://www.google.com/maps/place/TKB%E5%9F%BA%E9%9A%86%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E7%A0%94%E7%A9%B6%E6%89%80%2F%E5%85%AC%E8%81%B7%E5%9C%8B%E7%87%9F%2F%E8%8B%B1%E6%96%87%2F%E8%BD%89%E5%AD%B8%E8%80%83%2F%E9%AB%98%E4%B8%AD%E5%8D%87%E5%A4%A7%2F%E6%9B%B8%E5%AF%A9%E5%8F%A3%E9%9D%A2%E8%A9%A6)/@25.1309271,121.7445634,15z/data=!3m1!5s0x345d4e3f99d06695:0x3d40acdd9b213a41!4m8!3m7!1s0x345d4e158cb5dcbb:0x6a46b49acb4ad796!8m2!3d25.1309271!4d121.7445634!9m1!1b1!16s%2Fg%2F1jgm0q52g",
TKB數位學堂（大碩研究所、百官網公職、國考、洋碩美語、甄戰一點通）,"https://www.google.com.tw/maps/place/TKB+digital+school/@25.1766192,121.4481178,19z/data=!4m8!1m2!2m1!1z5reh5rC05a245aCC!3m4!1s0x3442aff7ae2a02e5:0xb889cddd5107e510!8m2!3d25.1766528!4d121.4482825?hl=en",
TKB宜蘭數位學堂（研究所/公職國營/大學轉學考/高中升大/國中升高/多益/雅思/托福/GRE/GMAT）,"https://www.google.com.tw/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E5%AE%9C%E8%98%AD%E5%AD%B8%E5%A0%82)/@24.7509908,121.7477725,17z/data=!3m1!4b1!4m5!3m4!1s0x3467e4e655555555:0x4fde9934672d5365!8m2!3d24.7509908!4d121.7499612?hl=en",
TKB(大碩)三峽數位學堂 公職/國營/TOEFL/GRE/TOEIC/研究所/高中升大學數位教材,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E4%B8%89%E5%B3%BD%E5%AD%B8%E5%A0%82)/@24.942668,121.372789,15z/data=!4m5!3m4!1s0x0:0x1fc5d6791210c57a!8m2!3d24.9426684!4d121.3727892?hl=en-US",
TKB數位學堂(新莊中正館),"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E6%96%B0%E8%8E%8A%E4%B8%AD%E6%AD%A3%E9%A4%A8)(%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7%2F%E6%B4%8B%E7%A2%A91%E5%B0%8D5%E7%BE%8E%E8%AA%9E%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%2F%E7%94%84%E6%88%B0:%E9%AB%98%E4%B8%AD%E5%8D%87%E5%A4%A7%E6%95%B8%E4%BD%8D%E8%AA%B2%E7%A8%8B)/@25.0365068,121.453012,19z/data=!4m12!1m6!3m5!1s0x0:0xfad47bf1d902523e!2zVEtC5pW45L2N5a245aCCKOaWsOiOiuS4reato-mkqCko55m-5a6Y57ay5YWs6IG3L-a0i-eiqTHlsI01576O6KqeL-Wkp-eiqeeglOeptuaJgC_nlITmiLA66auY5Lit5Y2H5aSn5pW45L2N6Kqy56iLKQ!8m2!3d25.0365362!4d121.4532989!3m4!1s0x0:0xfad47bf1d902523e!8m2!3d25.0365362!4d121.4532989?hl=en",
TKB林口數位學堂（百官網公職/國營、大碩研究所、洋碩美語、甄戰書審口面試）,"https://www.google.com/maps/place/TKB%E6%9E%97%E5%8F%A3%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7%2F%E5%9C%8B%E7%87%9F%EF%BC%8C%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80)/@25.058683,121.367303,15z/data=!4m5!3m4!1s0x0:0x1934a97ac4612d3e!8m2!3d25.0586832!4d121.3673031?hl=en-US",
龍門轉學考+台北,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@25.0459135,121.512589,15z/data=!4m8!1m2!2m1!1z5Y-w5YyXIOm-jemWgA!3m4!1s0x0:0x6caca2a7cf57300b!8m2!3d25.0459696!4d121.5125442?hl=en-US",
TKB壽豐數位學堂(研究所/國營公職/大學轉學考/高中升大/國中升高中/多益/雅思/托福/GRE/GMAT),"https://www.google.com.tw/maps/place/TKB+digital+school/@23.9057066,121.4979123,13z/data=!4m8!1m2!2m1!1zVEtC5aO96LGQ5pW45L2N5a245aCC!3m4!1s0x3468a3e0e6db7ef1:0x9278b0b6695c0f20!8m2!3d23.9057066!4d121.5329312?hl=en",
TKB影音課程中心(花蓮門市)－大碩/龍門/百官網公職/洋碩美語/甄戰學習顧問中心/甄戰一點通,"https://www.google.com.tw/maps/place/%E5%A3%BD%E8%B1%90%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E8%8A%B1%E8%93%AE%E9%9B%B2%E7%AB%AF%E5%AD%B8%E7%BF%92%E9%96%80%E5%B8%82/@23.9816724,121.603915,17z/data=!3m1!4b1!4m5!3m4!1s0x34689fb5dd237d1f:0x1434f33a3e41f288!8m2!3d23.9816724!4d121.6061037?hl=en",
TKB數位學堂(新莊建興館),"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E6%96%B0%E8%8E%8A%E5%BB%BA%E8%88%88%E9%A4%A8)/@25.0360987,121.4497853,21z/data=!4m8!1m2!2m1!1z5paw6I6KIOaVuOS9jeWtuOWggg!3m4!1s0x0:0x2a94fc50d5034b96!8m2!3d25.036065!4d121.4498686?hl=en",
TKB影音課程中心.大碩教育書局－大碩/龍門/百官網公職/洋碩美語/甄戰學習顧問中心/甄戰一點通,"https://www.google.com/search?rlz=1C1ONGR_enTW1039TW1039&tbs=lf:1,lf_ui:4&tbm=lcl&sxsrf=AJOqlzXlovwdneYy4jJA9uCaWnGFvSW68w:1676247433624&q=TKB%E5%BD%B1%E9%9F%B3%E8%AA%B2%E7%A8%8B%E4%B8%AD%E5%BF%83.%E5%A4%A7%E7%A2%A9%E6%95%99%E8%82%B2%E6%9B%B8%E5%B1%80%EF%BC%8D%E5%A4%A7%E7%A2%A9/%E9%BE%8D%E9%96%80/%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7/%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/%E7%94%84%E6%88%B0%E4%B8%80%E9%BB%9E%E9%80%9A&rflfq=1&num=10&sa=X&ved=2ahUKEwi-09imnJH9AhUR7GEKHayXDmgQjGp6BAgdEAE&biw=1920&bih=961&dpr=1#rlfi=hd:;si:16405406122399693939,l,Cn5US0LlvbHpn7PoqrLnqIvkuK3lv4Mu5aSn56Kp5pWZ6IKy5pu45bGA77yN5aSn56KpL-m-jemWgC_nmb7lrpjntrLlhazogbcv5rSL56Kp576O6KqeL-eUhOaIsOWtuOe_kumhp-WVj-S4reW_gy_nlITmiLDkuIDpu57pgJoiA4gBAUiaspSki7mAgAha8QEQABABEAIQAxAIEAkQChALEAwQDRAOEA8QEBAREBIQExAUEBUQFhAXEBgQGRgAGAEYAhgDGAQYBRgGGAcYCBgJGAoYCxgMGA0YDhgPGBAYERgSGBMYFBgVGBYYFxgYGBkijgF0a2Ig5b2x6Z-zIOiqsueoiyDkuK3lv4Mg5aSnIOeiqSDmlZnogrIg5pu45bGAIOWkpyDnoqkg6b6N6ZaAIOeZviDlrpjntrIg5YWs6IG3IOa0iyDnoqkg576O6KqeIOeUhCDmiLAg5a2457-SIOmhp-WVjyDkuK3lv4Mg55SEIOaIsCDkuIDpu54g6YCakgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26qAa4BEAEaHxABIhs9QwEunjzIr5_fFeEVP8PhehyevV4XIKI-SM8qiAEigwF0a2Ig5b2x6Z-zIOiqsueoiyDkuK3lv4Mg5aSnIOeiqSDmlZnogrIg5pu45bGAIOWkpyDnoqkg6b6N6ZaAIOeZviDlrpjntrIg5YWs6IG3IOa0iyDnoqkg576O6KqeIOeUhCDmiLAg5a2457-SIOmhp-WVjyDkuK3lv4Mg55SEIOaIsChF;mv:[[25.049461299999997,121.5778934],[24.9843519,121.5074378]]",
甄戰一點通影音課程中心/大碩教育書局,"https://www.google.com/maps/place/%E7%94%84%E6%88%B0%E4%B8%80%E9%BB%9E%E9%80%9A%E5%BD%B1%E9%9F%B3%E8%AA%B2%E7%A8%8B%E4%B8%AD%E5%BF%83%2F%E5%A4%A7%E7%A2%A9%E6%95%99%E8%82%B2%E6%9B%B8%E5%B1%80/@25.0453625,121.5090235,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a96f9b5581ed:0x4663dc7bebb18d21!8m2!3d25.0453625!4d121.5112122!16s%2Fg%2F11q4k8krfg",
TKB 台中數位學堂/台中百官網公職,"https://www.google.com/maps/place/TKB+digital+school/@24.137207,120.682039,15z/data=!4m5!3m4!1s0x0:0x55fe05f014283777!8m2!3d24.1372067!4d120.6820394?hl=en-US",
TKB 台中數位學堂/台中百官網公職,"https://www.google.com/maps/place/TKB+digital+school/@24.137207,120.682039,15z/data=!4m5!3m4!1s0x0:0x55fe05f014283777!8m2!3d24.1372067!4d120.6820394?hl=en-US",
TKB數位學堂,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@23.7118082,120.5434538,20.25z/data=!4m13!1m7!3m6!1s0x346ec8309e71438d:0xdc01d2f3461f33cf!2sNo.+34,+Zhenbei+Road,+Douliu+City,+Yunlin+County,+640!3b1!8m2!3d23.7119233!4d120.5434076!3m4!1s0x346ec83a7fcd9ab1:0xe8af41fe0f4683f0!8m2!3d23.7118697!4d120.543454?hl=en-US",
TKB西屯數位學堂/大碩研究所西屯班,"https://www.google.com/maps/place/TKB%E8%A5%BF%E5%B1%AF%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%E8%A5%BF%E5%B1%AF%E7%8F%AD/@24.1728655,120.6466388,15.25z/data=!4m5!3m4!1s0x0:0x661105ba3df3d303!8m2!3d24.172795!4d120.646434?hl=en-US",
TKB彰化數位學堂/大碩研究所/龍門轉學考,"https://www.google.com/maps/place/TKB%E5%BD%B0%E5%8C%96%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%2F%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.079849,120.537957,15z/data=!4m5!3m4!1s0x0:0x4dab4a8a5897bf6d!8m2!3d24.0798486!4d120.5379565?hl=en-US",
TKB中科數位學堂/台中大碩東海班,"https://www.google.com/maps/place/TKB%E4%B8%AD%E7%A7%91%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%8F%B0%E4%B8%AD%E5%A4%A7%E7%A2%A9%E4%B8%AD%E7%A7%91%E7%8F%AD/@24.183202,120.591789,15z/data=!4m5!3m4!1s0x0:0xfd8406551599bcbf!8m2!3d24.1832023!4d120.5917894?hl=en-US",
TKB虎尾學堂,"https://www.google.com.tw/maps/place/TKB%E8%99%8E%E5%B0%BE%E5%AD%B8%E5%A0%82/@23.7022161,120.4246573,17z/data=!3m1!4b1!4m5!3m4!1s0x346eb0abcff75143:0x37679ec781a4a7fd!8m2!3d23.7022161!4d120.426846?hl=en",
大碩研究所+台中,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.1370655,120.6820279,19z/data=!4m8!1m2!2m1!1z5aSn56Kp!3m4!1s0x0:0xcd0a2ea8394f4ae9!8m2!3d24.1372194!4d120.6820706?hl=en-US",
大碩研究所+台中,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.1370655,120.6820279,19z/data=!4m8!1m2!2m1!1z5aSn56Kp!3m4!1s0x0:0xcd0a2ea8394f4ae9!8m2!3d24.1372194!4d120.6820706?hl=en-US",
台中龍門轉學考/先修微積分/大學重考,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.137218,120.682069,15z/data=!4m5!3m4!1s0x0:0xef80ab4c96b51b94!8m2!3d24.137218!4d120.6820689?hl=en-US",
台中龍門轉學考/先修微積分/大學重考,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@24.137218,120.682069,15z/data=!4m5!3m4!1s0x0:0xef80ab4c96b51b94!8m2!3d24.137218!4d120.6820689?hl=en-US",
大碩研究所+台中,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.1370655,120.6820279,19z/data=!4m8!1m2!2m1!1z5aSn56Kp!3m4!1s0x0:0xcd0a2ea8394f4ae9!8m2!3d24.1372194!4d120.6820706?hl=en-US",
大碩研究所+台中,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.1370655,120.6820279,19z/data=!4m8!1m2!2m1!1z5aSn56Kp!3m4!1s0x0:0xcd0a2ea8394f4ae9!8m2!3d24.1372194!4d120.6820706?hl=en-US",
大碩研究所+台中,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.1370655,120.6820279,19z/data=!4m8!1m2!2m1!1z5aSn56Kp!3m4!1s0x0:0xcd0a2ea8394f4ae9!8m2!3d24.1372194!4d120.6820706?hl=en-US",
台北洋碩美語-英文補習班,"https://www.google.com/maps/place/%E5%8F%B0%E5%8C%97%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@25.0471797,121.5120063,19z/data=!4m5!3m4!1s0x3442a90d177ffa51:0xd1b3c6350b054e8f!8m2!3d25.0471797!4d121.5125535?hl=en-US",
高雄洋碩美語,"https://www.google.com/maps/place/%E9%AB%98%E9%9B%84%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@22.635982,120.304175,15z/data=!4m5!3m4!1s0x0:0x1faaa312b69c3584!8m2!3d22.6359816!4d120.3041751?hl=en-US",
台中洋碩美語,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@24.136016,120.681921,15z/data=!4m5!3m4!1s0x0:0x3b083c81c705c8a0!8m2!3d24.1360157!4d120.6819213?hl=en-US",
台中洋碩美語 西屯店,"https://www.google.com/maps/place/%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E+%E8%A5%BF%E5%B1%AF%E5%BA%97/@24.172795,120.646434,15z/data=!4m5!3m4!1s0x0:0xe652fa8def4afdd7!8m2!3d24.172795!4d120.646434?hl=en-US",
新竹洋碩美語,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@24.8035349,120.9738396,21z/data=!4m5!3m4!1s0x346835c2f2250b61:0x849e574408a785fc!8m2!3d24.8035731!4d120.9738282?hl=en-US",
中壢洋碩美語,"https://www.google.com/maps/place/%E4%B8%AD%E5%A3%A2%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E-%E8%8B%B1%E6%96%87%E8%A3%9C%E7%BF%92%E7%8F%AD%EF%BC%9A5%E4%BA%BA%E5%B0%8F%E7%8F%AD%E5%8F%A3%E8%AA%AA%2F1%E5%B0%8D1%E5%AE%B6%E6%95%99%2F%E5%A4%9A%E7%9B%8ATOEIC%2F%E6%89%98%E7%A6%8FTOEFL%2F%E9%9B%85%E6%80%9DIELTS%2FGRE%2FGMAT%2F%E5%95%86%E7%94%A8%E8%81%B7%E5%A0%B4%E8%8B%B1%E6%96%87%E6%9C%83%E8%A9%B1%2F%E8%88%AA%E7%A9%BA%E7%BE%8E%E8%AA%9E/@24.9520969,121.2230724,17z/data=!3m1!4b1!4m5!3m4!1s0x3468224927c2c0dd:0xe8f191a9e1542fdb!8m2!3d24.9520969!4d121.2252611?hl=en",
台南洋碩美語,"https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@22.997618,120.208644,15z/data=!4m5!3m4!1s0x0:0x7fe5fd4777db62f9!8m2!3d22.9976175!4d120.2086437?hl=en-US",
淡水洋碩美語,"https://www.google.com.tw/maps/place/%E6%B7%A1%E6%B0%B4%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@25.176624,121.4460893,17z/data=!3m1!4b1!4m5!3m4!1s0x3442af963d153c5d:0xeb40b2af2cd9a756!8m2!3d25.176624!4d121.448278?hl=en",
公館洋碩美語,"https://www.google.com.tw/maps/place/%E5%85%AC%E9%A4%A8%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@25.0167533,121.5297519,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a9970ffccd2d:0x60292218f9fd764a!8m2!3d25.0167533!4d121.5319406?hl=en",
